Number,Name,Address,Latitude,Longitude
18,18- PREFECTURE,Rue de la République,49.890229,2.295865
2,02- LES HALLES,Rue J Natiere,49.896032388592566,2.295043974872919
10,10- PALAIS DE JUSTICE,Place D' Aguesseau,49.8933588618336,2.301314220716614
4,04- PLACE AU FEURRE,Place au Feurre,49.89729029741273,2.297864452413288
24,24- COLISEUM,Boulevard Faidherbe,49.89413492763881,2.287054048660281
25,25- LA HOTOIE,Bd des Fédérés,49.896862536806346,2.282867747579433
8,08- VANMARCKE,Rue Edouard David,49.896851505866685,2.301575828797199
9,09- CATHEDRALE,Rue Flatters,49.89508211905397,2.299395003901743
3,03- VOGEL,Bd du jardin des plantes,49.898124385191046,2.295195128091815
26,26- MARCHE AUX CHEVAUX,Rue du Marché aux Chevaux,49.897251288573926,2.289247027835661
16,16- JOFFRE,Place du Maréchal Joffre,49.88779293086959,2.30361108882717
15,15- JACOBINS,Rue des Jacobins,49.8909435451942,2.300843419403305
14,14- GARE CINEMA,Passage Alphonse Fiquet,49.89028092622952,2.307375584272146
19,19- REPUBLIQUE,République Gambetta,49.892720073260215,2.297075819641891
12,12- AMIENS 2,Bd Alsace Lorraine,49.89223828665915,2.30769408025555
20,20- BRANLY,Bd Maignan Larivière,49.89001551426808,2.291227264216073
22,22- QUATRE CHENES,Avenue du Général Foy,49.890242,2.282163
11,11- PORT D' AMONT,Bd Du Port D' Amont,49.89557785209512,2.306191079777315
13,13- GARE JULES BARNI,Rue Jules Barni,49.889774,2.3091
21,21- MAISON DE LA CULTURE,Place Léon Gontier,49.89392165574068,2.292724729098195
5,05- ST LEU,Rue St Leu,49.897919625448225,2.300574328135932
6,06- CITADELLE MONTRESCU,Avenu du général du Gaulle,49.904325,2.30082